routeID,npcID,englishName,verifiedChineseName,alternateChineseNames,repoName,family,appearance,zoneZh,zoneEn,skinCount,notes,imageFiles,sourceUrls
50821,50850,Savage,萨维奇,野蛮,萨维奇,Cat,白虎/老虎,翡翠林,The Jade Forest,1,独特无瞳亮蓝眼白虎皮肤。,ReferencePets/PandariaHiddenHunterPets/50850_savage.jpg,https://www.wow-petopia.com/npc.php?id=50850|https://www.wowhead.com/cn/npc=50850
50822,50859,Glimmer,微光之蛾,星光|闪光,微光之蛾,Water Strider,水黾,翡翠林,The Jade Forest,1,你整理的“闪光”不是当前主流可检译名。,ReferencePets/PandariaHiddenHunterPets/50859_glimmer.jpg,https://www.wow-petopia.com/npc.php?id=50859|https://www.wowhead.com/cn/npc=50859
50817,50854,Bloodtooth,血牙,,血牙,Turtle,龙龟/乌龟,卡桑琅丛林,Krasarang Wilds,1,红色带刺龙龟；Petopia 明确写明南部海岸潜行巡逻。,ReferencePets/PandariaHiddenHunterPets/50854_bloodtooth.jpg,https://www.wow-petopia.com/npc.php?id=50854|https://wow.17173.com/content/2012-08-04/20120804142336581_2.shtml
66522,67820,Bombyx,邦比克斯,邦比|桑蚕|蚕虫,邦比,Worm,蚕虫/毛毛虫,卡桑琅河，卡桑琅丛林,"Krasarang River, Krasarang Wilds",1,中文名不稳定；“蚕虫”更像描述而非稳定译名。,ReferencePets/PandariaHiddenHunterPets/67820_bombyx.jpg,https://www.wow-petopia.com/npc.php?id=67820|https://www.wowhead.com/tw/npc=67820
50812,50885,Patrannache,帕特兰纳克,波澜若澈,帕特兰纳克,Waterfowl,鹤/鸟类,四风谷,Valley of the Four Winds,1,粉色鹤，巡逻路线很长。,ReferencePets/PandariaHiddenHunterPets/50885_patrannache.jpg,https://www.wow-petopia.com/npc.php?id=50885|https://www.wowhead.com/cn/npc=50885
50818,50960,Hexapos,赫克萨波斯,六爪,赫克萨波斯,Water Strider,水黾,恐惧废土,Dread Wastes,1,绿底白纹水黾；Petopia 标注为特殊追踪驯服。,ReferencePets/PandariaHiddenHunterPets/50960_hexapos.jpg,https://www.wow-petopia.com/npc.php?id=50960|https://www.wowhead.com/cn/npc=50960
50820,51013,Rockhide the Immovable,不可撼动的洛克海德,洛克海德|坚皮,洛克海德,Basilisk,蜥蜴/巴斯利斯克,螳螂高原,Townlong Steppes,1,石灰灰紫色晶背蜥蜴；“坚皮”不是当前可检主流译名。,ReferencePets/PandariaHiddenHunterPets/51013_rockhide_the_immovable.jpg,https://www.wow-petopia.com/npc.php?id=51013|https://www.wowhead.com/cn/npc=51013
50813,50843,Portent,噩兆,天兆|魁麟,噩兆,Stone Hound,魁麟/Quilen,锦绣谷,Vale of Eternal Blossoms,4,唯一会在刷新时随机抽取 4 种颜色的稀有。,ReferencePets/PandariaHiddenHunterPets/50843_portent_jade.jpg|ReferencePets/PandariaHiddenHunterPets/50843_portent_amethyst.jpg|ReferencePets/PandariaHiddenHunterPets/50843_portent_cobalt.jpg|ReferencePets/PandariaHiddenHunterPets/50843_portent_jasper.jpg,https://www.wow-petopia.com/npc.php?id=50843|https://www.wowhead.com/cn/npc=50843|https://wow.17173.com/moregame123/kl6_3.shtml
50816,50944,Bristlespine,刺脊,芒刺,刺脊,Rodent,豪猪/箭猪,昆莱山,Kun-Lai Summit,1,紫黑色豪猪；“芒刺”不是当前主流可检译名。,ReferencePets/PandariaHiddenHunterPets/50944_bristlespine.jpg,https://www.wow-petopia.com/npc.php?id=50944|https://www.wowhead.com/tw/npc=50944
50811,50998,Stompy,重蹄,,重蹄,Gruffhorn,羊/山羊/牦牛羊系,昆莱山,Kun-Lai Summit,1,Petopia 家族名是 Gruffhorn；外观上是白灰色山羊模型。,ReferencePets/PandariaHiddenHunterPets/50998_stompy.jpg,https://www.wow-petopia.com/npc.php?id=50998|https://www.wowhead.com/cn/npc=50998
