spellID	key	status	enUS	zhCN	srcType	avail	path	price	notes	nSources	factions	classes	itemIDs	clientSourceType	clientSourceText	clientFaction	inInventory
458	provisional-458	candidate	Mount 458	棕马	vendor	unknown	暴风城 > 艾尔文森林 > 东谷伐木场 > 格瑞戈·玛克温斯	10金币（声望折扣）		1			5656	0		1	True
459	fact-459	candidate	Mount 459	灰狼	vendor	obtainable	奥格瑞玛 > 杜隆塔尔 > 奥格瑞玛 > 奥古纳罗		10金币（声望折扣）。	1	HORDE			0			True
468	fact-468	candidate	Mount 468	白马	vendor	obtainable	暴风城 > 暴风城 > 凯蒂·斯托克斯		10金币（声望折扣）。	1	ALLIANCE			0			True
470	provisional-470	candidate	Mount 470	黑马	vendor	unknown	暴风城 > 暴风城 > 凯蒂·斯托克斯	10金币（声望折扣）		1			2411	0		1	True
472	provisional-472	candidate	Mount 472	杂色马	vendor	unknown	暴风城 > 艾尔文森林 > 东谷伐木场 > 格瑞戈·玛克温斯	10金币（声望折扣）		1			2414	0		1	True
578	fact-578	candidate	Mount 578	黑狼	vendor	obtainable	奥格瑞玛 > 杜隆塔尔 > 奥格瑞玛 > 奥古纳罗		10金币（声望折扣）。	1	HORDE			0			True
579	fact-579	candidate	Mount 579	赤狼	vendor	obtainable	奥格瑞玛 > 杜隆塔尔 > 奥格瑞玛 > 奥古纳罗		10金币（声望折扣）。	1	HORDE			0			True
580	provisional-580	candidate	Mount 580	森林狼	vendor	unknown	奥格瑞玛 > 杜隆塔尔 > 奥格瑞玛 > 奥古纳罗	10金币（声望折扣）		1			1132	0		0	True
581	fact-581	candidate	Mount 581	冬狼	vendor	obtainable	奥格瑞玛 > 杜隆塔尔 > 奥格瑞玛 > 奥古纳罗		10金币（声望折扣）。	1	HORDE			0			True
5784	fact-5784	candidate	Mount 5784	地狱战马	class_reward	obtainable	术士 > 20级职业训练师 > 召唤地狱战马		术士专属召唤法术；20级由职业训练师教授，非背包物品。	1		WARLOCK		0			True
6648	provisional-6648	candidate	Mount 6648	栗色马	vendor	unknown	暴风城 > 艾尔文森林 > 东谷伐木场 > 格瑞戈·玛克温斯	10金币（声望折扣）		1			5655	0		1	True
6653	provisional-6653	candidate	Mount 6653	恐狼	vendor	unknown	奥格瑞玛 > 杜隆塔尔 > 奥格瑞玛 > 奥古纳罗	10金币（声望折扣）		1			5665	0		0	True
6654	provisional-6654	candidate	Mount 6654	棕狼	vendor	unknown	奥格瑞玛 > 杜隆塔尔 > 奥格瑞玛 > 奥古纳罗	10金币（声望折扣）		1			5668	0		0	True
6777	provisional-6777	candidate	Mount 6777	灰山羊	vendor	unknown	铁炉堡 > 丹莫罗 > 铁炉堡 > 维隆·冻石	10金币（声望折扣）		1			5864	0		1	True
6896	fact-6896	candidate	Mount 6896	黑山羊	vendor	obtainable	铁炉堡 > 丹莫罗 > 铁炉堡 > 维隆·冻石		10金币（声望折扣）。	1	ALLIANCE			0			True
6898	provisional-6898	candidate	Mount 6898	白山羊	vendor	unknown	铁炉堡 > 丹莫罗 > 铁炉堡 > 维隆·冻石	10金币（声望折扣）		1			5873	0		1	True
6899	provisional-6899	candidate	Mount 6899	棕山羊	vendor	unknown	铁炉堡 > 丹莫罗 > 铁炉堡 > 维隆·冻石	10金币（声望折扣）		1			5872	0		1	True
8394	provisional-8394	candidate	Mount 8394	条纹霜刃豹	vendor	unknown	达纳苏斯 > 泰达希尔 > 多兰纳尔 > 莱兰奈	10金币（声望折扣）		1			8631	0		1	True
8395	provisional-8395	candidate	Mount 8395	绿色迅猛龙	vendor	unknown	暗矛巨魔 > 杜隆塔尔 > 森金村 > 祖尼尔	10金币（声望折扣）		1			8588	0		0	True
8980	fact-8980	candidate	Mount 8980	骸骨战马	vendor	obtainable	幽暗城 > 提瑞斯法林地 > 布瑞尔 > 撒迦利亚·普斯特		10金币（声望折扣）。	1	HORDE			0			True
