mountKey,fieldPath,sourceURL,sourceType,checkedAt,gameVersion,build,status,notes
drake-of-the-south-wind,ids.spellIDs[0],https://www.wowhead.com/mop-classic/spell=88744,spell,2026-09-08,5.5.4,,candidate,Confirm the aura spell in target client before release.
drake-of-the-south-wind,sources[alakir-drop],https://www.wowhead.com/mop-classic/item=63041,item,2026-09-08,5.5.4,,candidate,Al'Akir in Throne of the Four Winds.
sky-golem,ids.spellIDs[0],https://www.wowhead.com/mop-classic/spell=134359,spell,2026-09-08,5.5.4,,candidate,Confirm the aura spell in target client before release.
sky-golem,sources[engineering-craft],https://www.wowhead.com/mop-classic/item=95416,item,2026-09-08,5.5.4,,candidate,Engineering-crafted mount.
ashes-of-alar,ids.spellIDs[0],https://www.wowhead.com/mop-classic/spell=40192,spell,2026-09-08,5.5.4,,candidate,Confirm the aura spell in target client before release.
raven-lord,ids.spellIDs[0],https://www.wowhead.com/mop-classic/spell=41252,spell,2026-09-08,5.5.4,,candidate,Confirm the aura spell in target client before release.
headless-horseman-mount,ids.spellIDs[0],https://www.wowhead.com/mop-classic/spell=48025,spell,2026-09-08,5.5.4,,candidate,Confirm event availability in MoP Classic.
violet-proto-drake,ids.spellIDs[0],https://www.wowhead.com/mop-classic/spell=60002,spell,2026-09-08,5.5.4,,candidate,Confirm availability state before release.
mimirons-head,ids.spellIDs[0],https://www.wowhead.com/mop-classic/spell=63796,spell,2026-09-08,5.5.4,,candidate,Confirm the aura spell in target client before release.
onyxian-drake,ids.spellIDs[0],https://www.wowhead.com/mop-classic/spell=69395,spell,2026-09-08,5.5.4,,candidate,Confirm difficulty condition in target client.
invincible,ids.spellIDs[0],https://www.wowhead.com/mop-classic/spell=72286,spell,2026-09-08,5.5.4,,candidate,Confirm the aura spell in target client before release.
celestial-steed,ids.spellIDs[0],https://www.wowhead.com/mop-classic/spell=75614,spell,2026-09-08,5.5.4,,candidate,Confirm current MoP Classic store availability.
hearthsteed,ids.spellIDs[0],https://www.wowhead.com/mop-classic/spell=142073,spell,2026-09-08,5.5.4,,candidate,Confirm current MoP Classic promotion availability.
rivendares-deathcharger,ids.spellIDs[0],https://www.wowhead.com/mop-classic/spell=17481,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
fiery-warhorse,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=30480,spell,2026-09-09,5.5.4,,candidate,Attumen in Karazhan; source path queued for final verification.
swift-white-hawkstrider,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=35513,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
azure-drake,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=43952,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
blue-drake,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=43953,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
bronze-drake,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=43951,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
blue-proto-drake,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=44151,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
swift-zulian-panther,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=68824,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
armored-razzashi-raptor,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=68823,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
pureblood-fire-hawk,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=69224,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
vitreous-stone-drake,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=63043,spell,2026-09-09,5.5.4,,candidate,Slabhide in The Stonecore; source path queued for final verification.
amani-battle-bear,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=69747,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
blazing-drake,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=77067,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
life-binders-handmaiden,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=77069,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
experiment-12-b,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=78919,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
heavenly-onyx-cloud-serpent,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=87771,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
astral-cloud-serpent,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=87777,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
son-of-galleon,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=89783,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
thundering-ruby-cloud-serpent,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=90655,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
spawn-of-horridon,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=93666,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
thundering-cobalt-cloud-serpent,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=95057,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
spawn-of-jikun,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=95059,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
kor-kron-juggernaut,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=104253,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
thundering-onyx-cloud-serpent,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=104269,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
twilight-drake,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=43954,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
black-drake,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=43986,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
drake-of-the-north-wind,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=63040,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
phosphorescent-stone-drake,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=63042,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
tamed-seahorse,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=67151,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
flametalon-of-alysrazor,ids.spellIDs[0],https://www.wowhead.com/mop-classic/item=71665,spell,2026-09-09,5.5.4,,candidate,Source path queued for final verification.
fact-387323,sources[china-classic-distribution-387323],https://wow.blizzard.cn/h5/20260129/teamup/,official-event,2026-09-11,5.5.4,,verified,2026 Landro Golden Gift Box included X-51 Nether-Rocket for Mists Classic.
